curated_smiles,chicken_oral_LD50
O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.176974391073551
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.197122481813825
CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,4.252861163505388
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.5356097024129856
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.6525911284932295
COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,3.4530836994535163
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.143537825657932
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.464288300555898
CC1CN1P(=O)(N1CC1C)N1CC1C,2.815721032216316
CNC(=O)CSP(=S)(OC)OC,3.962393962357885
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.279795799081296
CC(=O)O[Hg]c1ccccc1,3.749143457176031
COP(=O)(OC)OC=C(Cl)Cl,4.5347853932871045
CNC(=O)Oc1cccc(C(C)C)c1,4.20692926717194
CS(C)=O,0.8136699286630967
CCCOP(=O)(OC=C(Cl)Cl)OCCC,4.442611448509295
CCOP(=O)(OC=C(Cl)Cl)OCC,4.8647727515380215
CC(C)OP(=S)(Oc1ccc(S(C)=O)cc1)OC(C)C,4.013657751719037
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,2.8673130707842964
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,3.1598012644983227
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,1.90143325474278
COP(=S)(OC)SCc1nc(N)nc(N)n1,2.7616454025769377
O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1.9041886938234625
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.514969105718691
COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.0590340998297987
NC(=S)Nc1cccc2ccccc12,1.6775683088822628
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.965626775053733
S=c1sc2nc3ccccc3nc2s1,1.771488265225809
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.91600201326154
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,2.267865516091541
ClCC(Br)CBr,3.595374955168249
CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,3.328266620378141
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,1.8661313195753093
BrCCBr,3.3762118502826723
CNC(=O)Oc1ccccc1OC(C)C,3.653202136244383
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1.9287922422672013
COP(=S)(OC)Oc1ccc(S(C)=O)cc1,5.082145958475572
CNC(=O)ON=CC(C)(C)SC,4.376275766129463
Cc1occc(=O)c1O,1.5302100295694403
Cc1cccc(C)c1OP(=O)(Oc1c(C)cccc1C)Oc1c(C)cccc1C,2.6132602600019674
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,3.3786241574973688
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.7408414654645363
NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.3703136092204096
COC(=O)C=C(CC(=O)OC)OP(=O)(OC)OC,4.4751021158971325
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.995694725835806
CCNc1nc(Cl)nc(NCC)n1,1.6056519121093122
CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC,3.1930291385273044
CCCCOP(=O)(OCCCC)OCCCC,2.249309261632186
CC(Cl)(Cl)C(=O)O,1.4070538524977412
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.5444809175973853
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1-c1ccccc1,1.6046428621360502
CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,2.0629613894699705
NCCN1CCNCC1,1.9351947838527777
CC(=O)Nc1ncc([N+](=O)[O-])s1,2.3691694559482785
COP(=O)(OC)OC(C)=CC(=O)N(C)C,4.473641715680404
N#C[Na],3.368047684728578
Cc1ncc(CO)c(C)c1O,1.989305247959913
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.313607831168677
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1.7027669741825426
COP(S)(=NC(C)C)Oc1ccc(Cl)cc1Cl,2.3645903937579456
CCS(=O)CCSP(=O)(OC)OC,3.488356791745311
CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,5.132052563573975
O=[N+]([O-])c1ccc(OP(=O)(OCCCl)OCCCl)cc1,3.536668264789147
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.1386136995588405
CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.7034633418832925
CCOP(=O)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,5.197534918774221
Cc1c(Cl)c(=O)oc2cc(OP(=O)(OCCCl)OCCCl)ccc12,1.773570183935908
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.433326137862973
CCP(=S)(Oc1ccc([N+](=O)[O-])cc1Cl)OC(C)C,4.907049306769142
CCOP(=S)(CC)Sc1ccc(C(C)(C)C)cc1,3.6717605418163104
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.820603516605201
CCOP(=S)(N=C1SCCS1)OCC,4.717556890632566
CCOP(=S)(OCC)Sc1nc(C)cc(C)n1,3.8489265248703264
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,4.55909687393255
CCOCCP(=S)(S)c1ccc(C)cc1,4.059555077840585
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.562190525480604
CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,4.091894084533443
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,2.605193225164783
O=C(O)CC[N+](=O)[O-],3.67602941482488
CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,3.1908161565413318
Cc1cc(N(C)C)nc(Cl)n1,3.882413214777841
O=P(N1CC1)(N1CC1)N1CC1,3.059460597519511
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.6876678587427474
CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,2.8023238094538314
Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.2637848088380497
NC(=O)CF,4.258428802887304
CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.790053915807159
O=C(O)C(Cl)(Cl)Cl,1.5817737296161138
CCC(C)c1cccc(OC(=O)NC)c1,4.183003824911742
CN(C)P(=O)(N(C)C)N(C)C,2.33166122380757
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,2.652088980739652
COP(C)(=O)OC,1.49184499433092
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,0.7777397918195615
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,1.7455291570338134
Cc1cnc[nH]1,2.1435228832565807
CCC12COP(OC1)OC2,3.3347887257004363
CCNc1nc(NC(C)(C)C)nc(SC)n1,1.7806125032351117
COCCNC(=O)CSP(=S)(OC)OC,3.463537202565397
CCOP(=O)(N=C1SCC(C)S1)OCC,4.983123474736824
COc1nn(CSP(=S)(OC)OC)c(=O)s1,3.5774041853010834
COP(=S)(OC)SCSc1ccc(Cl)cc1,2.762464794382539
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)OC(C)C,3.1425558662993827
CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,1.582513340750994
CCCSP(C)(=S)SCCC,4.29421529217398
C[N+](C)(C)CCCl,2.124769942639652
CCC12COP(=O)(OC1)OC2,3.375661175809581
CNC(=O)Oc1cccc2sccc12,3.385045050493083
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,2.522753216035217
CNC(=O)CSP(=O)(OC)OC,3.2318670020844102
CCOP(=O)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,3.906684578610692
CNC(=O)Oc1cccc2c1OC(C)(C)C2,4.545554507234065
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],2.224380242791648
N#Cc1cc(I)c(O)c(I)c1,3.416143567530651
N#Cc1cc(Br)c(O)c(Br)c1,3.2126502374737163
CC(C)OP(=S)(CCl)Sc1ccc(Cl)cc1,4.008664929420659
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],2.224380242791648
NC(=S)c1c(Cl)cccc1Cl,2.314071670125024
Clc1cccc(C(Cl)(Cl)Cl)n1,2.9923729982078635
CNC(=O)Oc1cc(C)c(SC)c(C)c1,3.099933219178853
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,4.810649133240753
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,1.5767093511281656
CCOP(=S)(OCC)S[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.366836142363598
COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.8728552447048097
CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,4.9819039549376924
CC1=CC2OC3C(O)C(O)C(C)(C2(CO)CC1)C31CO1,4.482283308992702
COP(=O)(OC)OC(=CCl)c1ccc(Cl)cc1Cl,3.495202558452475
COP(=O)(OC)OC(=CCl)c1cc(Cl)ccc1Cl,2.5745477201396763
CCCC(C)c1cccc(OC(=O)NC)c1,3.698577687704189
CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],2.723512843146386
CCCCOP(=O)(OCCCC)Oc1ccccc1,2.14933744530683
CC(=O)OC1C(O)C2OC3C=C(C)CCC3(CO)C1(C)C21CO1,4.528773464413799
CCCc1nc(C)cc(OC(=O)N(C)C)n1,3.570690792760633
CC[Ge](CC)(CC)O[Ge](CC)(CC)CC,3.164082469229807
ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,1.9006631128157097
CCCC[Ge](CCCC)(CCCC)O[Ge](CCCC)(CCCC)CCCC,2.225236031439779
C=C(OP(=O)(OC)OC)Sc1ccc(Cl)cc1,3.759256875964722
CC(=O)OCC12CCC(C)=CC1OC1C(O)C(O)C2(C)C12CO2,5.1131046887813305
CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.934726286011333
COP(=S)(OC)Oc1ccc(C#N)cc1,4.014938564222478
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,4.001746287168387
CNC(=O)Oc1cc(C)c(C)c(C)c1,3.584542528163638
O=C(O)COc1ccc(Cl)cc1Cl,2.6112716420196542
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2.964358643709526
COc1coc(CSP(=O)(OC)OC)cc1=O,3.500093302964751
COP(=S)(OC)SCSc1ccc(Cl)c(Cl)c1,2.701796839972156
COP(=S)(OC)SCc1ccc(SP(=S)(OC)OC)cc1,1.899664411795096
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(C)=O,3.84857703663268
CCC(C)c1ccc(Cl)c(OC(=O)NC)c1,1.0955072622631163
CC1OP(=S)(Cl)OC2CCCCC12,3.9732216903408535
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.139967046533998
COP(=O)(OC)OC(=CCl)c1ccc(Br)cc1Br,3.0973451234876253
COC(=O)NS(=O)(=O)c1ccc(N)cc1,2.0611602121691304
CCOP(=O)(OC=C(Cl)Cl)OCCCl,5.054574755294823
CCOc1ccc(NC(=O)C(Br)(CC)CC)cc1,3.227725026452631
COP(=S)(Oc1c(Cl)cc(Cl)cc1Cl)c1ccccc1,3.088279057362268
CCC(C)c1ccccc1OC(=O)NC,2.3623002238426354
CCOP(=S)(Oc1ccc(Cl)cc1Cl)c1ccccc1,2.364492209977047
COP1(=S)OCc2ccccc2O1,3.293458986915212
Cc1ncc(CO)cc1O,1.7632844529897862
CCc1ccccc1OP(=O)(Oc1ccccc1CC)Oc1ccccc1CC,2.613260260001968
Cc1ccc(OP(=O)(Oc2ccc(C)cc2C)Oc2ccc(C)cc2C)c(C)c1,2.6132602600019674
O=C(O)CCl,3.066933002285355
ClC=CC[N+]12CN3CN(CN(C3)C1)C2,2.032836256492005
CCCSP(=S)(OC)SCCC,4.40580686714623
CC(=O)OCC12CCC(C)=CC1OC1C(OC(C)=O)C(OC(C)=O)C2(C)C12CO2,4.753803214129072
O=C(O)C=CCl,2.249230979225568
Cc1cc(=O)oc2cc(OP(=O)(OCCCl)OCCCl)ccc12,2.4841836322281456
CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,2.81740448995731
CC1Cc2ccc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,3.8350713868861104
CCc1occc(=O)c1O,2.0427521941484965
Cc1ccc(SP(=S)(CCl)OC(C)C)cc1,3.936786358643208
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,1.822876790307547
CCCCc1c(C)[nH]c(N(C)C)nc1=O,1.7186947118687668
CC1=C(C(=O)Nc2ccccc2)SCCO1,0.9914254508566548
O=P(OC=C(Cl)Cl)(OCCCl)OCCCl,4.803347845429721
CCCOP(=O)(OC)OC=C(Cl)Cl,4.8647727515380215
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,1.60821241349038
Cc1[nH]oc(=O)c1N=Nc1ccccc1Cl,3.3759305087526057
CCOP(=S)(OCC)OCCSCOC(C)CC,4.0439047556445376
O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,1.988758074334895
CCOC(=O)NCCSP(=S)(OC)OC,3.0301248757311408
CCCCOCCCOC(=O)CCOc1cc(Cl)c(Cl)cc1Cl,2.282960671673381
CC(=O)OCC12CCC(C)=CC1OC1C(OC(C)=O)C(O)C2(C)C12CO2,4.55964594406676
CC(=O)OC1C2OC3C=C(C)CCC3(CO)C(C)(C1OC(C)=O)C21CO1,4.058817339529496
CNC(=O)C=C(C)OP(=O)(OC)OC,4.799622821166404
CCOP(=S)(Oc1ccc(SC)cc1)c1ccccc1,4.113150208101896
CCNP(=S)(OC)Oc1ccc(C(C)(C)C)cc1Cl,2.435717528035945
S=C(S)NCCNC(=S)S,1.4429052952859738
Cc1cc(=O)[nH]o1,1.996025445560402
COc1cc2c(c3oc4cccc(O)c4c(=O)c13)C1C=COC1O2,3.898147021554823
COP(N)(=O)SC,3.7516854873485337
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,1.5294906688566186
COC(=O)Nc1nc2ccccc2[nH]1,2.0261926680962223
