curated_smiles,guinea pig_intravenous_LDLo
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,3.858863780442455
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.6482554331062262
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.555706638569156
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.580274757268343
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.6745212848396176
CCOC(N)=O,2.046758470640536
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.180925456756164
CCC1C(=O)OCC1Cc1cncn1C,4.017577953733623
O=C(O)c1cccnc1,1.5462288146401044
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.815283467136009
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.6802312339537537
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.126014453585027
CNCCCN1c2ccccc2CCc2ccccc21,3.685151967748901
NCCCCCC(=O)O,0.8211858826088453
CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,3.536493400648851
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.609343577090428
CC(=O)OC(C)C[N+](C)(C)C,4.63073153765639
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983444664
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.2267105051974125
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.524290943888823
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.392271355131426
CCN(CC)CC(=O)Nc1c(C)cccc1C,3.5569386287073894
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.754220178922721
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.7487441106460806
C1CCN2CC3CC(CN4CCCCC34)C2C1,3.9385697562210606
NCC(O)c1ccc(O)cc1,2.884174904705165
N=C(N)N,2.0724116706737803
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,3.3481711135112677
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.292832546752536
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C3CC12,4.336655611991474
CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.421493778856845
N#C[K],4.114717710160559
OC(O)C(Cl)(Cl)Cl,2.616483390984273
CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,3.915394558212022
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.833032305246415
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.836730003076293
CC(C)NCC(O)COc1cccc2ccccc12,3.965178257871529
CNCC(O)c1ccc(O)c(O)c1,6.162598731348286
COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,3.5168338350011976
CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,5.5794934669186445
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1ccc(=O)oc1,5.490907319292884
CC(=O)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,3.695587008584404
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.991796487965556
CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.8130879838859872
O=C1CCCC2C3CC(CN12)C1CCCCN1C3,3.5030045346220904
OC(CNCCCl)C(O)C(O)C(O)CNCCCl,4.183557379575998
CC(C[N+](C)(C)C)OC(N)=O,4.093489033302542
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)C1O,5.442053325136016
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1O,5.790047224484014
CCCCOc1ccc(OCCCN2CCOCC2)cc1,3.430043972933745
CCCC[Sn](Cl)(Cl)CCCC,4.7836878070394455
CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,4.026547972271754
N=C(N=C(N)N)NCCc1ccccc1,3.8351936488511
COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,3.752929419550635
COC(=O)C1C2CC3c4[nH]c5ccc(OC)cc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.06839139628947
CNCCC=C1c2ccccc2CCc2ccccc21,3.777136712504172
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,3.697319693174656
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.823974748689106
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,5.676417617217725
COC1C(O)C(C)OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,5.888055240528359
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCl)N3C1OC(=O)CCl,3.5075153849204885
CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1,3.329869986086826
CCN(CC)CCOc1cc(C)ccc1C(C)C,4.095862970750208
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.1346186842717545
CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,3.619671148782365
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,4.246047803338539
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.068204758600931
CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,5.775513360992733
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,5.641234598130288
CC(=O)OC1CCC2(C)C(CCC3C2CC(OC(C)=O)C2(C)C(C4=CC(=O)OC4)CCC32O)C1,4.37097087395142
CC(=O)O[U](=O)(=O)OC(C)=O,4.860606645803407
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC=O)CC43O)C2)C1O,6.387704385887126
CC1C2CCC3C4=C(CCC32CN1C)C1CCC(N(C)C)CC1(C)CC4,3.702145645391295
CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,6.098563098733853
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,5.38509844468187
CC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c1C)C(OC1OC(CO)C(O)C(O)C1(C)OC1OC(CO)C(O)C(O)(C(N)=O)C1O)c1cnc[nH]1)C(=O)NCCC1=NC(c2nc(C(N)=O)cs2)CS1,5.00872886892907
CC1CC(OC2C(C)OC(OC3CCC4(C)C(CCC5C4CC(OC=O)C4(C)C(C6=CC(=O)OC6)CCC54O)C3)CC2OC=O)OC(OC=O)C1OC1CC(OC=O)C(OC=O)C(C)O1,5.418333829294081
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.070635674924112
CCC[N+]12C(O)C(CC)C3CC1C1N(C)c4ccccc4C14CC2C3C4O,4.722550486737598
CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,5.480596643392308
C=CC1=C(C)c2cc3[nH]c(c(CC(=O)O)c4[nH]c(cc5nc(cc1n2)C(C)=C5CC)c(C)c4C(=O)O)C(CCC(=O)O)C3C,3.8726544054610463
CC1OC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)CC(O)C1O,6.2005817157350185
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,5.969347802068237
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,5.425877779486365
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,6.29278850507219
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.222376820058254
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)[N+]3(C)C1O,4.21113961896597
CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,3.354410308882529
CC1C(=CC(=O)OCCN(C)C)CCC2C1C(=O)CC1C(C)(C)C(OC(=O)CC(C)(C)O)CCC21C,5.455916252062515
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.677215972572256
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)C1OC,4.258518244140549
CC1OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O,5.177837968905129
COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,6.085440836406682
COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(C)(O)C(C)CC5C)CC4C)O3)CC2C)C1C,4.868359075678653
CC(=O)OC1CC(OC2C(C)OC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)CC2OC(C)=O)OC(C)C1O,5.445665961191567
COC1C(C)OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C1O,5.904915721598968
NC(=O)OCC1N=C(N)N2CCC(O)(O)C23NC(N)=NC13,7.4760936573376675
CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,3.040650542939826
COC1C(O)C(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,4.818579361403803
CC(C(O)c1ccccc1)N(C)C,3.1104758598935214
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCl)N3C1O,3.526039734961389
CCC1OC(C2(C)CC(C)C(O)(C3(C)CCC(C(O)C4(O)OC(CC5(O)OC(C(C)C(O)CC6OC(C(C)C(=O)O)C(C)CC6C)CCC5C)C(C)CC4C)O3)O2)CCC1(C)O,5.256838456529431
CCN(CC)CCN(CC)c1ccccc1,3.866011508981621
CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,3.787802983148183
CCOC(=O)OC12CCC(C3=CC(=O)OC3)C1(C)C(O)CC1C2CCC2CC(OC3CC(OC4CC(O)C(O)C(C)O4)C(OC4CC(O)C(O)C(C)O4)C(C)O3)CCC21C,5.784827105099044
Cn1c(=O)n(CC2CNCCO2)c2ccccc21,3.027732619167623
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCC(=O)OC)N3C1O,4.212621583300983
CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,4.1774329426814045
CC12CCC(OC=O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,4.7176886290585305
CC12CCC(OC=O)CC1CCC1C2CC(OC=O)C2(C)C(C3=CC(=O)OC3)CCC12O,4.973166758417596
CC12CCC(OC=O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)C(OC=O)CC12O,5.602585500658283
CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,5.663828489909704
C=CC1CN2CCc3c([nH]c4ccc(OC)cc34)C2CC1CC1NCCc2c1[nH]c1ccc(OC)cc21,3.815725980735075
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,3.9401515142935617
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.408022415599389
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)OC3C)OC2C)CC(O)C1O,6.254713997299255
CC(CC(=O)Nc1ccccc1)N1CCCC1,3.402311857140932
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)CC(O)C1O,5.249169996646191
Cc1cc(C(=O)c2ccc(O)cc2)c(C)o1,3.263045991746017
CCc1ccc(C(=O)c2cc(I)c(O)c(I)c2)o1,3.463445959695564
Cc1cc(C(=O)c2cc(I)c(O)c(I)c2)c(C)o1,3.455427987679716
