curated_smiles,human_oral_TDLo
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.598060220071197
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,8.431797360885552
CC(C)NCC(O)c1ccc(O)c(O)c1,5.926879322511478
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,6.94294706848414
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,1.8715135161935397
NC1(C(=O)O)CCCC1,3.3329734234950577
CC(C)(S)C(N)C(=O)O,1.4366198405511026
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.723780470674377
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.628257240643971
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.473777011102075
OCC(O)CO,1.80950312903494
ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.803661923236224
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.110662647691819
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,7.368982474112264
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.1388582396323805
CCCC(C)(COC(N)=O)COC(N)=O,2.8918021906779594
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,4.144510865023819
CC(C)O,2.430540703201837
CC(Cl)(Cl)Cl,2.2990973044787726
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,5.924856668850426
CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,4.600714699065054
ClC(Cl)C(Cl)Cl,3.747800090864368
CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.298460069461452
Clc1ccc(Cl)cc1,2.6902078974046564
ClCCCl,2.364015917607892
CC(C)OP(C)(=O)F,7.845389539888095
CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.972722466478937
O=C(O)C=CC(=O)O,2.732289007780928
C#CC(O)(C=CCl)CC,3.1307875186825704
ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.8687905800182025
Oc1ccc(O)cc1,2.811385729562562
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.247664406717576
CCC1(CC)C(=O)NCC(C)C1=O,3.8480730052921257
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,4.667320309374686
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,4.188678938713016
CN(C)CCOC(c1ccccc1)c1ccccc1,5.553456358605738
CC(N)C(O)c1ccccc1,5.087318802121859
NC(=O)N1c2ccccc2C=Cc2ccccc21,3.739947478165421
CC(N)Cc1c[nH]c2ccccc12,5.656834085245205
CNC(C)Cc1ccccc1,3.943427588780513
OC(O)C(Cl)(Cl)Cl,2.741422127592573
O=C(O)CC(S[Sb](SC(CC(=O)O)C(=O)O)SC(CC(=O)O)C(=O)O)C(=O)O,4.71387296924436
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.1529623866452408
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,3.642587729028079
C#CCC1(OC(N)=O)CCCCC1,2.9003072251429605
CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,7.101189613883951
CCNC(C)Cc1cccc(C(F)(F)F)c1,4.519004359237608
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,5.54525224994743
O=C(O)C1CSCN1,2.501163631705328
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.416062489802367
CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,6.268850490388225
CCN(CC)C(=O)C1C=C2c3cccc4[nH]c(Br)c(c34)CC2N(C)C1,6.729527630481712
CCNC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,7.169359912147326
CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,4.325375592517917
C=CCC(CC)(CC)C(N)=O,3.191006431627131
CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,6.675552278687326
CCc1cc(C(N)=S)ccn1,2.288285276992497
N#CS,2.1380675829763724
CC(N)CCCC(C)(C)O,6.714946149638579
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,6.5848816603306615
CC(=O)O,4.61121014117892
N#C[Hg]C#N,3.971114281488064
C=CCc1cc(OC)c2c(c1)OCO2,4.527910160861476
CN(C)c1nc(N(C)C)nc(N(C)C)n1,4.419718307807713
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,7.122036842991321
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,5.700047165377332
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,6.535051519345023
CN(C)CCN(Cc1ccsc1)c1ccccn1,3.718325610290307
NCC(CC(=O)O)c1ccccc1,4.554414045397129
COc1cc(CC(C)N)cc(OC)c1OC,5.449648072585518
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,6.026442970232333
O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,6.14835323054608
COC1C(O)C(C)OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,7.359102347535828
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,6.231125937229361
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,2.717899557566598
O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1/N=N/c1ccc(S(=O)(=O)O)cc1,7.524512029783384
C=CCn1c(=O)c2c(ncn2C)n(C)c1=O,3.92790707481076
Cc1nccnc1N1CCCCC1,6.54101851793069
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,7.037375267522818
Cn1c(=O)c2[nH]cnc2n(C)c1=O,4.556705242737958
CCN(CC)CCOc1cc(C)ccc1C(C)C,7.074673671680269
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,4.213727253915587
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.898765864661681
CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCN(S(C)(=O)=O)CC1)c1ccccc1S2,5.407141814884997
O=P1(NCCCl)OCCCN1CCCl,3.328742945321012
S=C=Nc1ccc(N=C=S)cc1,4.80678575401252
CN(C)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,7.470389907811306
CN1CC(C(=O)N2CCOCC2)C=C2c3cccc4[nH]cc(c34)CC21,7.573932172941346
c1ccc(C2CN3CCSC3=N2)cc1,5.009234119410878
O=P1(N(CCCl)CCCl)NCCCO1,4.115758579184873
C=CCOc1ccccc1OCC(O)CNC(C)C,3.7248539976579536
CN1CC(C(=O)N2CCCC2)C=C2c3cccc4c3c(cn4C)CC21,7.224599095208317
CCNC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,7.092598547975273
C(=C[n+]1ccccc1)c1cccs1,4.575822651937362
CNCCCC12CCC(c3ccccc31)c1ccccc12,4.212674756500252
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,4.018212921464246
O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,7.874957020206359
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,3.66010252765026
COc1cc(CC(C)N)cc2c1OCO2,4.767986873022144
CN(C)CCOCCOC(=O)C1(c2ccccc2)CCCC1,5.928592128123091
O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,2.9921349819522174
CN(C)CCC(c1ccccc1)C1CCCCC1,4.690922251106044
Cn1cnc2c1c(=O)[nH]c(=O)n2C,3.84070189910316
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,6.00892050824112
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.9162033582524245
CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1,5.491397216469271
CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,5.2141924625488025
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,2.7296069615112333
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,4.507331232015055
CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,5.011314527741678
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,7.381820771943092
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,4.752254642964513
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,1.836021711815132
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,6.131193041062438
CCC(=O)c1ccc(OCC(O)CN2CCN(c3ccccc3)CC2)cc1,5.3334142743814175
COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,4.543526248481813
N=C(CC(O)COc1cccc2ccccc12)NO,3.512372501892356
Oc1ccc2c(c1)C13CCCCC1(O)C(C2)N(CC1CC1)CC3,7.350027768544746
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,6.3046060579252
CCNC(=O)C1C=C2c3cccc4c3c(cn4C(C)=O)CC2N(C)C1,6.65311341898897
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.74067124359363
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,8.43436071419198
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.600002426757725
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.551622530588428
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,5.000952592814657
CC(=O)NC(=O)C(Cl)(Cl)Cl,1.7542633715159115
OCC[N+]1(CCO)CC1,5.585881484267707
CC(C(=O)O)c1cccc2c(-c3ccccc3)coc12,4.726394638667044
CCCCNC(=N)N=C(N)N,4.7406003138842685
CN(C)CCC=C1c2ccccc2COc2ccccc21,4.477717027917106
CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,4.86987534823096
CCC(C)(OO)OOC(C)(CC)OO,2.64144518962703
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.98954328950933
CN1CC(C(=O)N2CCCC2)C=C2c3cccc4[nH]cc(c34)CC21,7.50707830142055
C=CCc1cc(-c2cc(CC=C)c(O)c(CN(CC)CC)c2)cc(CN(CC)CC)c1O,4.006655062746234
c1ccc(C2(c3ccccc3)OCC(C3CCCCN3)O2)cc1,5.888472950852095
CC(=O)Nc1ccccc1O,4.0245406026092505
NC(CCC(=O)O)C(=O)O,3.368638450616638
Cc1cccc(C)c1NC(=O)C(C)N,4.526953219688855
CCCn1c(=O)c2c(ncn2C)n(C)c1=O,3.931864513492032
