curated_smiles,mammal (species unspecified)_unreported_LD50
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.248575217903188
O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.5079676101149757
CN(C)CCCN1c2ccccc2CCc2ccccc21,2.789789844602524
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.663010309960294
NCCc1ccc(O)c(O)c1,2.135986877698965
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.9408489498265227
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.6719488324015095
NC(=O)c1ccccc1,2.083283984249897
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.994460612018182
CCCC[Sn](CCCC)(CCCC)OC(C)=O,2.8439835765831374
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.686137050172255
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.685038171944399
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.819269872677256
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.661736984912718
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.182885786073239
CC(=O)O[Hg]c1ccccc1,4.2968457861814
COP(=O)(OC)OC=C(Cl)Cl,3.2474350949143163
CNC(=O)Oc1cccc2ccccc12,2.812320242229366
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,3.10207123767927
CCCCCO,1.8755542197237447
CS,2.899261361958516
CSC,1.5033156701457988
CC(C)N,2.07270564921469
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.7939311701014646
O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,2.865738658920373
CC1(C)NC(=O)NC1=O,0.904893528223256
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,3.562926047939496
CCCCSP(=O)(SCCCC)SCCCC,3.267202107240656
COP(=S)(OC)SCc1nc(N)nc(N)n1,2.4949318543522474
COC(C)=O,2.5392813377786125
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.248860927205049
O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,2.31535825468364
Clc1cc(Cl)c2ccc3c(Cl)cc(Cl)c4ccc1c2c43,1.929464907401624
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,2.14882939544856
CCN(CC)CCOC(c1ccccc1)c1ccccc1,3.5104147789330056
N#CC(c1ccccc1)c1ccccc1,1.7420492109148311
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,2.3282306561328925
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.1152143076814376
Nc1ccccc1[N+](=O)[O-],1.165257437598365
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.602448872640908
CCN(CC)c1ccccc1,1.7639433868274923
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.6176631388235343
Oc1cc(Cl)c(Cl)cc1Cl,3.119361479962119
NC(=O)c1cccnc1,1.688871680291038
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,2.13991265375957
O=[N+]([O-])c1ccc(O)cc1,2.900320301929172
CC(C)OC(=O)Nc1cccc(Cl)c1,1.8526100998337256
O=C(Nc1cccc(Cl)c1)OCC#CCCl,3.031583493419115
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,1.874942465748368
CCCN(CCC)CCC,2.286935666193105
C=CCN(CC=C)CC=C,2.34504471477886
CCNc1ccccc1,2.3052904492813937
CC(=O)Nc1ccc(O)cc1,2.2295735443608997
C=CC=O,3.095471566376624
CCCN,2.0082476599877714
C=CCN,1.8628439216909287
C=CCO,2.944482672150168
C#CCO,3.0244082105511785
CC[Hg]Cl,4.168145413697052
CC(=O)CC(C)C,1.855813233564774
CC(C)NC(C)C,2.226999220949004
CC1OC(C)OC(C)OC(C)O1,2.4678842300620025
Clc1ccccc1,1.6896523900543423
Oc1cccnc1,2.023942574187874
CCCCN,2.093297006467472
CCCCCCO,1.6216074876846074
CCCCCCCO,1.426731820738474
CCCCOCCO,1.8964380269152037
CCCCCCCCO,1.512654384044302
CCCCOCCOCCSC#N,2.567789642459274
CNC(=O)Oc1ccccc1OC(C)C,3.320655089134337
C=CC(C)(C)O,2.2966853590481366
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.4790062241748214
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,2.9322885939554246
CC1(C)C(=O)N(Cl)C(=O)N1Cl,2.595542514709093
Nc1ccccc1C(=O)O,1.3371284522458933
Cc1cc(OC(=O)N(C)C)n(C(C)C)n1,4.283434868846739
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.820022711512161
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.2905644127949687
CCNc1nc(Cl)nc(NCC)n1,2.158493880767093
CC(C)OC(=O)Nc1ccccc1,2.2533840497331488
CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,1.5355953627336074
Nc1ccc(O)cc1,2.2874278010653675
CCCCOC(C)=O,1.863113539954368
CCCCCCC(C)O,1.2737305380518866
C=CCNCC=C,2.443423931649501
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.2575249850238444
CC(Cl)(Cl)C(=O)O,1.335697943962073
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.726324505542157
COc1ccc(OC)c(CNN)c1,3.1052671548353143
COc1ccc(CNN)cc1OC,3.1602326471828133
Cc1nc(=O)c(C[n+]2csc(CCO)c2C)c[nH]1,2.066205714611268
CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,2.718922611673465
CN(C)C(=S)SSC(=S)N(C)C,2.778953952904059
CNC(=S)S,2.3769944251748347
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,1.5830381044305974
CC(Cc1ccccc1)NC(=O)c1cccnc1,2.3015833684281874
CN(C)c1ccc(N=NS(=O)(=O)O)cc1,3.582178932015961
CCCNCCC,2.226999220949004
CCCCCCCCCO,0.8803863058629204
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,3.5903915214018283
Oc1cccc2cccnc12,2.1618499513512384
CN(C)C(=O)Nc1ccc(Cl)cc1,1.7540270836799567
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.0223640264958505
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.9051871719605726
CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.142796035713555
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,3.979163204952095
O=C(CF)Nc1ccccc1,4.185134015284604
CCOC(=O)CCCCCCCCCCF,3.3661221157975105
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.60256256771364
CCOC(=O)CCCCF,2.966660815128604
COC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,3.0204565849105687
CCOC(=O)CCCCCCCCCCCF,4.090550776695137
O=C(CCCCCBr)OCCF,3.5071359469857533
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.4130649468374106
NC(=O)c1ccccc1F,2.0980946848307176
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.212451184590544
Fc1ccc(C(c2ccc(F)cc2)C(Cl)(Cl)Cl)cc1,2.8260491439977287
c1cncc(C2CCCCN2)c1,3.619082623037104
O=C(CCCl)NCc1ccccc1,2.1598436794028903
CCOC(=S)SSC(=S)OCC,2.6064028643052777
O=P(N1CC1)(N1CC1)N1CC1,4.062346285756999
ClCCN(CCCl)c1ccccc1,3.338709426354747
Cc1cccs1,1.8916082458770205
Oc1cnc2ccccc2c1,2.643336011473351
CCOC(=O)CCCCCF,4.6080015685133136
Nc1cccc(O)c1,1.9427668444849588
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.986520935152454
NC(=O)c1ccccc1Cl,2.1919649328272226
Cc1ccsc1,1.7878588083386586
NC(=O)c1cccc(Cl)c1,2.1919649328272226
Cc1ccc(C(N)=O)cc1,2.1308674618025902
NC(=O)c1ccc(Cl)cc1,2.1091795625107728
NC(=O)c1ccc([N+](=O)[O-])cc1,2.220463749894475
CSSC,2.834190257379389
CCSCCSP(=S)(OC)OC,3.5464703925554315
NC(=O)CF,4.284757741609653
NC(=O)c1cccc([N+](=O)[O-])c1,2.220463749894475
O=C(O)C(Cl)(Cl)Cl,1.694703558751398
O=[N+]([O-])OCCOCCO[N+](=O)[O-],2.195600799262952
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,3.899448403208589
CCCN(CCC)C(=O)SCC,2.0570975835406897
NC(=O)c1ccc(F)cc1,2.143417663617375
CCNc1nc(NC(C)(C)C)nc(SC)n1,1.920274496664118
CCO[Si](CCCN)(OCC)OCC,1.743064659243348
CCSCCSP(=O)(OC)OC,3.760216974310115
CCOP(=S)(CC)Sc1ccccc1,4.161080726713326
COc1nn(CSP(=S)(OC)OC)c(=O)s1,4.082554163620989
CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.5338773247365927
CN(C)C1C(=O)C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.3769381539013748
CNc1nc(NC(C)C)nc(SC)n1,2.027981220043387
CCCC[Sn](O)(CCCC)CCCC,2.7882617273469044
N#Cc1c(Cl)nc(Cl)c(C#N)c1-c1ccccc1,1.7389548752954134
CCCCN(CC)C(=O)SCCC,2.455156782582933
Cc1ccc(O)c(C)n1,2.26114827573004
CCCCNc1ccccc1,2.7236274018394253
CCSC(=O)N(CC)C1CCCCC1,1.9714412397029732
COC(=S)SSC(=S)OC,2.9509284546305974
CCN(CC)C(=O)CCC(=O)O,1.9375479806619944
CCOC(=O)NC1CCCCC1,2.5346352148262525
N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.6535694536275143
CN(C)NC(=O)CCC(=O)O,1.28031002381827
Nc1c2c(nc3ccccc13)CCCC2,3.805893122330757
N#Cc1cc(I)c(O)c(I)c1,3.4900931507361035
N#Cc1cc(Br)c(O)c(Br)c1,3.163592880400503
CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,2.982178590903662
Nc1cnn(-c2ccccc2)c(=O)c1Cl,2.044631861819949
O=C(C=Cc1ccc(O)cc1O)c1ccccc1,2.574497883534681
CCOC(=S)SSSC(=S)OCC,2.739539118464674
CCNc1nc(Cl)nc(NC(C)C)n1,2.1876979477240086
COc1c(Cl)ccc(Cl)c1C(=O)O,2.344468907126224
CC(C)N(C(=O)CCl)c1ccccc1,2.422614459022255
CNC(=O)Nc1nc2ccccc2s1,2.3165113029800946
CC(S)C(=O)NCC(=O)O,1.8904955374150128
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,1.989449817666692
C[As](=O)(O)O,3.4470649582664823
CCSC(=O)N1CCCCCC1,2.415223830232055
CCOP(=S)(OCC)SCSc1cc(Cl)ccc1Cl,3.2756798301027032
CCCCCCCCCCCCS[As](C)SCCCCCCCCCCCC,2.6926310397731807
CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.848451579754686
CCCC(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.4152472012070747
CCCCCCCCCCCCCCCN,2.3076411859836963
C[Hg]C#N,4.207082959805083
CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,3.0072769531599444
CCOc1nn(CSP(=S)(OC)OC)c(=O)s1,3.14800728539376
CCS(=O)CCSP(=S)(OC)OC,3.6407430611577034
CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(CC=C(C)C(=O)O)C4=O)C3=O,4.058123597212366
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2.663328648045545
CN(C)C(=S)N(C)C,2.519276575332283
CCNc1nc([N-][N+]#N)nc(NC(C)(C)C)n1,2.710674644619517
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.3326131587499788
CN(C)CCN1C(=O)CCc2ccccc21,3.091080469347332
COC(=Nc1ccc(Cl)cc1)N(C)C,2.1516353925864595
Oc1cncc2ccccc12,2.730486187192251
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,2.066772106080594
COc1ccc(C(N)=O)cc1,2.179451248397774
CCN(CC)CCOc1cc(C)ccc1C(C)C,2.516079374133398
CC1NC(C)N(CCN2C(=S)SC(C)NC2C)C(=S)S1,1.8458468622649349
CC1(c2ccccc2)CC(=O)N(CN2CCOCC2)C1=O,2.7786741999380933
CC(=O)Nc1c(CCl)cccc1C(C)(C)C,2.1293313676843
NC(=O)c1ccccc1I,2.3927584886038904
NC(=O)c1ccc(I)cc1,2.3927584886038904
COC1=C(C)C(=O)C2=C(C1=O)C(COC(N)=O)C1(OC)C3NC3CN21,5.242222049788608
c1ccc(-c2nsc(-c3ccccc3)n2)cc1,2.9792113698565807
Clc1ccc(-c2nsc(-c3ccc(Cl)cc3)n2)cc1,3.089488271224996
CCCCOC(=O)CCCCC(=O)OCc1ccccc1,1.1781385048869832
O=c1c2ccccc2[nH]c2nc3ccccc3n12,2.2253942119675107
CC(=O)ON(C(=O)OC(C)C)c1ccccc1,1.898094118959344
COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1OC,2.6700347659100494
CCC(=O)OC1(c2ccccc2)CC[N+](C)([O-])CC1,2.876443839316759
C=[N+](O)CCC(C)(C(=O)OCC)c1ccccc1,3.0974620845459286
CC(=O)O[Bi]=O,1.2772622513034362
CCCCc1c(C)[nH]c(N(C)C)nc1=O,1.7186947118687668
CC1=C(C(=O)Nc2ccccc2)SCCO1,1.8664867142483543
NC(CNC(=O)C(=O)O)C(=O)O,2.2275440951208294
O=c1[nH]c(=S)[nH]cc1CN1CCCCC1,2.35279396015554
COP(=O)(OC)Oc1nc(Cl)c(Cl)cc1Cl,2.54736677480437
Cc1ccc2nc3c(c(N)c2c1)CCCCC3,4.124279769852255
COc1cccc(C(N)=O)c1,2.179451248397774
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,1.636824770160378
O=C(C=CC=Cc1ccccc1)c1cc(Cl)ccc1O,2.8012390173790886
Nc1c2c(nc3ccc(Cl)cc13)CCCC2,3.875460817255868
CC(C)=CCCC1(C)C=Cc2c(O)c(CC=C(C)C)c3c(c2O1)C(=O)C1=CC2CC4C(C)(C)OC(CC=C(C)C(=O)O)(C2=O)C14O3,4.497456291042629
CNC(=O)N(O)c1ccccc1,1.5216087502968103
CCOC(=O)N1CCN(CCCl)CC1,3.290723889678235
CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,2.071018080314345
O=C(Cl)CN1C(=O)c2ccccc2C1=O,2.349500932482415
Cc1cccc(C(C)(C)C)c1NC(=O)CBr,2.453619489177931
C#CCNCC#C,2.790107992322188
C#CCN(CC#C)CC#C,2.8061071441077217
CNC(=O)Oc1ccccc1C1OCCO1,3.348748668235154
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Br,1.7178684695357205
CSc1nc(NC(C)C)nc(NC(C)C)n1,2.127399989459768
CCCC(C)(C)C(=O)Nc1ccc(Cl)cc1,1.7776913786652315
CCOP(=S)(OC)SCCSCC,5.336436384055148
NC(=O)CN1CCCC1=O,1.152771304815015
S=C(S)NCCNC(=S)S,1.7190511137755813
CCOC(=O)CCF,2.7785961742430505
NC(=O)c1cccc(I)c1,2.3927584886038904
CC(C#N)=NOCc1ccccc1,3.542085625510292
C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1,3.0580158325173445
COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,5.478240114738469
S=C([S-])NCCNC1=[S][Zn+2][S-]1,2.310203801460036
Cn1cccc2c3ccccc3cc1-2,3.38318799760962
COP(=S)(OC)SCCNC(C)=O,3.0850942627363303
O=C(C=Cc1ccc(O)cc1)c1ccccc1O,2.5953480225078005
COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1O,2.6574550101453966
COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1,2.6222606228970577
COCC(O)Cn1ccnc1[N+](=O)[O-],2.073140199884465
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,2.000454323836372
O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,2.6121014043454838
CCN(CC)CCON=C(c1ccccc1)c1ccccn1,3.439920129297651
O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,3.12239883467152
CC(Cc1ccccc1)NC(=O)CCCN,2.8806480401478
O=C1NC2(CCCCC2)C(=O)N1CN1CCN(CN2C(=O)NC3(CCCCC3)C2=O)CC1,2.3488420431442782
CCO[Si](CNCCCCCCN)(OCC)OCC,2.767149926971733
O=C(C=Cc1ccccc1O)c1ccccc1O,2.601081366260743
O=C1CC(c2ccccc2)C(=O)N1CN1CCN(CN2C(=O)CC(c3ccccc3)C2=O)CC1,2.885110448139025
O=C1CC(c2ccc(Cl)cc2)C(=O)N1CN1CCN(CN2C(=O)CC(c3ccc(Cl)cc3)C2=O)CC1,2.945652374589452
CC1(c2ccccc2)CC(=O)N(CN2CCN(CN3C(=O)CC(C)(c4ccccc4)C3=O)CC2)C1=O,2.910791545864537
CCO[Si](CN(CC)CC)(OCC)OCC,1.3000334502336353
CCO[Si](C)(CNCCCCCCN)OCC,2.640928420866832
CCc1cccc(CC)c1N(COC)C(=O)CCl,2.3518156256168905
Cc1ccc2c(c1)c1c3n2CCNC3CCC1,3.268368860555781
CN(CCCl)N=O,3.7459083534775433
O=P(O)(O)CCCl,1.5366005233314004
CCC(C)OC(Cc1ccc(Cl)cc1)N1CCCCC1,2.8690174540653084
CCC(C)OC(Cc1cccc(Cl)c1)N1CCCCC1,2.8690174540653084
CCC(C)OC(Cc1ccc(C)cc1)N1CCCCC1,2.741050698395228
CCC(C)OC(Cc1ccc(Cl)c(C)c1)N1CCCCC1,2.889134957456917
CCC(C)OC(Cc1ccc(C2CCCC2)cc1)N(CC)CC,2.848554468792947
CCCCCCOC(CN(CC)CC)c1ccc(C2CCCC2)cc1,2.5173479906731977
CCCCCCCCOC(CN(CC)CC)c1ccc(C2CCCCC2)cc1,2.111320774232641
CCC(C)OC(Cc1ccccc1)N1CCCCC1,3.116290540078827
Cc1cccc(C)c1N(COC(C)C)C(=O)CCl,2.181798514273402
CCOC(=O)C1C(=O)CC(C)(O)C(C(=O)OCC)C1c1ccccc1,2.638981926599734
Nc1ccc(O)cc1Cl,1.3321013140644848
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1.4628814429188506
CC(Cc1ccccc1)NC(=S)c1cccnc1,2.0866546846577974
Nc1c2c(nc3ccccc13)CCC2,4.022350590687212
COc1ccc(CCNN)cc1,3.062331236829798
COc1cccc(CCNN)c1OC,3.14359055276191
CNC(=O)N(C)c1nc2ccccc2s1,1.947011967216285
NCC1OCCc2ccccc21,2.9117433778559314
C[N+](C)(C)CCCCC(N)C(=O)O,1.976072437158604
CC(=O)N(c1ccccc1)c1cccs1,2.9391057272649617
CCCN1CCN(C(=O)c2ccccc2)CC1,2.9858884427748813
CCCN1CCN(C(=O)c2ccc(OC)cc2)CC1,3.080429541104696
CCCN1CCN(C(=O)c2ccc(Cl)cc2)CC1,3.647988994337509
CC(C)CN1CCN(C(=O)c2ccc(Cl)cc2)CC1,2.8920930560549563
O=C(C=Cc1cc(Br)cc(Br)c1O)c1ccc(O)cc1O,3.662809230643804
CCCCCOC(CN1CCCCC1)c1ccccc1,3.042080694059209
CCCCCCOC(CN1CCCCC1)c1ccccc1,3.03834718489427
CCCCCCCCOC(CN1CCCCC1)c1ccccc1,2.957698938218015
CCCCCCCCCCCCOC(CN1CCCCC1)c1ccccc1,1.9703759367193745
CCC(C)OC(Cc1ccc(C2CCCC2)cc1)N1CCN(C)CC1,2.7243300742374985
O=C(O)c1cncc(Br)c1,2.402276432002701
c1cnc(N2CCNCC2)nc1,3.101461538255869
CCCN1CCN(C(=O)c2ccc(N)cc2)CC1,3.241009523775636
CCCCN1CCN(C(=O)c2ccc(N)cc2)CC1,3.31004410660617
Cc1cccc(NC(=O)c2cnc(N)s2)c1,3.2186881799625477
COc1cc(C=CC(=O)c2ccc(O)cc2O)ccc1O,2.6574550101453966
CNC(=O)c1c(-c2ccc([N+](=O)[O-])o2)noc1C,3.922894922573117
CNC(=O)c1c(C)noc1-c1ccc([N+](=O)[O-])o1,3.922894922573117
Cc1onc(-c2ccc([N+](=O)[O-])o2)c1C(=O)OC1CCN(C)CC1,3.224424281134731
O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O,2.64964762453983
C=C(C#N)C(=O)OCCOCC,1.566536335086376
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.961378374475427
O=C(Cn1ccnc1[N+](=O)[O-])NCCO,1.6405848619054886
CCN(CC)C(=O)CCC(=O)N(CC)CC,2.3332685235307182
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.156514146546193
COP(=O)(OC)OC1=C(Cl)C2C=CCC12,3.3308263981280057
COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,3.3585491433687764
O=C(NC12CC3CC(CC(C3)C1)C2)c1cccnc1,2.449790235305416
O=C(NC12CC3CC(CC(C3)C1)C2)c1ccncc1,2.896948266647635
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccnc1,2.2558768796556508
C=CCOC(CO)CO,1.1210967438373467
Clc1ccc(-c2ccccc2)c(Cl)c1Cl,5.331675249380256
CC(C)(C)CCO,2.4652851029431955
CCOP(N)(=O)N(C=O)c1ncc(OC)c(CC)n1,2.7607902715821084
CCOP(=O)(NC(=O)Nc1ncc(OC)cn1)OCC,2.8811606034744
COc1cnc(NC(=O)NP(=O)(Oc2ccccc2)Oc2ccccc2)nc1,2.949206707625441
CCOP(N)(=O)N(C=O)c1ncc(OC)c(N2CC2)n1,3.478916963975641
O=C(C=Cc1ccccc1O)c1ccc(O)cc1O,2.607958659273528
O=C(O)c1cncc(O)c1,2.1433583506154665
COC(C(=O)CN(C)C)(c1ccccc1)c1ccccc1,3.0051973714343894
NC(=O)c1cncc(Br)c1,2.3490032405265886
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,4.551781285445038
Cc1c(O)c(=O)ccn1C,2.143495694701392
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.5249074284918667
C=CCC1(CC=C)C(=O)Nc2ccccc2NC1=O,2.5002720596084766
CCC1(C)CC(=O)N(CN2CCN(CN3C(=O)CC(C)(CC)C3=O)C(C)C2)C1=O,2.5299081490524644
CCC1(C)CC(=O)N(CN2CC(C)N(CN3C(=O)CC(C)(CC)C3=O)CC2C)C1=O,2.544640521972922
O=c1c2ccccc2[nH]c2nc3c4ccccc4ccc3n12,3.756340900652608
Cc1c(C)c(Cl)c2c(nc3[nH]c4ccccc4c(=O)n32)c1Cl,3.8224165502989615
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,3.439909865392709
