curated_smiles,rabbit_intraperitoneal_LD50
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.939296699910011
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,3.2986289604679144
NNCCc1ccccc1,3.289072690210518
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.682183651182393
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.632519715421042
NNC(=O)c1ccncc1,2.969853143928141
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.079726643862531
N=C(N)SCCN,2.7033387478146444
CCCCCCCCCCCCCCCC[N+](C)(C)C,3.357251629425872
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.189843893739444
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.5151105097905035
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.047191282036696
CNC(=O)Oc1cccc2ccccc12,2.955377073015478
NC(=O)NC(=O)Cc1ccccc1,1.8529457564101663
Cc1ccc(CC(C)N)cc1,3.5718165188308246
CCO,1.6797824981866345
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983444664
CO,1.2442188428860614
CC(C)O,1.9547197323334489
CN(C)C=O,1.863887670436976
CCCO,2.0670383372088077
CCCCCO,2.799094280957102
C#N,4.235882120019889
CNC,3.1087249575452267
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.541725136241133
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.84036422749415
CC(C)CO,2.3607504659881715
CCC(C)O,2.427473219254826
CC=C(CC)C(=O)NC(N)=O,2.0475112862443448
N#Cc1ccccc1,1.9164497371890752
Nc1ccc(Oc2ccc(N)cc2)cc1,2.4886396488216613
ClCC1CO1,2.762139111111225
OCCCl,3.0027814162840194
O=CCCl,4.1527621894734885
O=CC=O,2.985546221648909
O=C1CCCCC1,1.804347458517581
Clc1ccccn1,3.3739344269339564
N#CCC#N,3.8180948289435626
O=C(O)CCCCCCCCC(=O)O,1.527737279900666
CCCCOCCO,2.730106605148678
CCCCOCCOCCSC#N,3.4050623449615744
Oc1ccc(O)cc1,2.94492463793278
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.383342828108735
CN1C(=O)OC(C)(C)C1=O,1.9796758218877424
CCC1(CC)C(=O)NC(=O)NC1=O,2.8673378283620727
N#C[K],4.214678474673235
C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,3.2083208671188004
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.919815701447104
O=C(Nc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,4.55803320964767
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.9860368417588945
O=C=NCC(F)(F)C(F)(F)C(F)(F)F,4.097031598441823
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,3.78592462455436
O=C(O)C(F)(F)C(F)(F)F,3.379864535513952
N#CNC(=N)N,1.4475817786838898
CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,3.511374158533424
c1cncc(C2CCCN2)c1,4.03415400984492
CCOC(=S)SSC(=S)OCC,2.879404136369016
CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)C1=O,3.6994040818153366
CN1CSC(=S)N(C)C1,3.1064693066159106
Cc1cc(N(C)C)nc(Cl)n1,4.5356257285531845
CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,3.3805964007776903
CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,4.872198242804399
CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.67448557663091
CN(C)CC(O)c1ccc(O)c(O)c1,3.9939517868458703
COC1=CC(=O)OC(CCc2ccccc2)C1,2.8219419033045496
NCC(O)CO,2.662900856376396
CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,3.4173755320237227
CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,3.7054137964457743
NC(=O)C(F)(F)C(F)(F)C(F)(F)F,3.2281150703252077
NC(=O)OCCCc1ccccc1,2.7985391897246386
Clc1cc(Cl)c(OCC#CI)cc1Cl,3.4212591690850656
NCC(F)C(=O)O,3.5983608212311604
CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,4.611800815753626
O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,2.7089144065095376
O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,3.3888722347721174
CCCC(CCC)C(=O)O,2.079826176801902
CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,2.996227010926111
C[PbH2+](C)C,4.229290963517078
CC(C)Cc1ccc(CC(=O)O)cc1,4.283884420169535
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,6.106420262242148
CC(c1ccccc1)C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,2.206174755697881
CNC(=O)OCc1cccc(COC(=O)NC)n1,2.233301457496117
CN(C)c1ccc(N)cc1,3.134170730224775
CC1CCC(C(C)C)C(O)C1,1.8928428373505304
N#CC(C#N)=Cc1ccccc1Cl,3.769549588758169
O=C(O)COc1ccc(Cl)cc1Cl,2.7424089157982614
CN1CCCC1c1cccnc1,4.064019194385366
CCCCCCCCCCCC(=O)N(C)C,2.356775181473215
CCCCCCCCCCCCCC(=O)N(C)C,2.2312078474477106
COCc1c(CO)cnc(C)c1O,4.032493141858006
Cn1cc(CCc2cc[n+](CCC[N+](C)(C)C)cc2)c2ccccc21,3.5740454222801668
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.606604904729689
CCCCCC(=O)N(C)C,2.440030648288821
CC(C)CCCC(C)N,3.467967794826667
O=C(O)c1ccccc1OP(=O)(O)O,2.5191137212953656
CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(O)C1O,2.630154517786293
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2.9233235568750557
CCCCCCCCCC(=O)N(C)C,1.9985601009150944
CN1C2CCC1CC(OC(=O)C(C)(CO)c1ccccc1)C2,3.180988443628197
CCOC(=O)NNc1nncc2ccccc12,2.7127301190854363
COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1,3.785453402621328
CCCCCCCCc1ccc(C(=O)CCN2CCCCC2)cc1,3.300408378293817
COC1=CC(=O)OC(CCc2ccc3c(c2)OCO3)C1,2.9642407679204923
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,3.0728929567206027
O=C(O)CN1CCN(CC(=O)O)CC(=O)O[PbH2]OC(=O)C1,2.7370657060943526
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.75639721861988
C1COCCOCCNCCOCCOCCN1,3.369663045864176
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,2.8330499697859968
CC(C)CC(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(O)CC(=O)NC(C)C(=O)NC(CC(C)C)C(O)CC(=O)O)C(C)C)C(C)C,2.922449483165924
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,1.4313838699195938
CC(O)CCC(=O)c1ccoc1,3.748684080151968
C1COCCOCCOCCOCCO1,2.5947574664475024
ClC[Si]12OCCN(CCO1)CCO2,1.8726068502062532
CCOP(C)(=O)SCCN(C(C)C)C(C)C,6.607576862037715
COC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,1.960721625490952
COc1cc(C(=O)N(C)C)nn1-c1cccc(Cl)c1,2.4297010483637123
CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,3.249694615909639
CCOC(=O)c1c(C)cc2c(CO)n[nH]c(=O)c2c1C,2.596270270142376
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,2.6430763576560774
CS(=O)(=O)NC(=O)CCCC=CCC1C(=O)CC(O)C1C=CC(O)COc1ccccc1,5.190861867478404
CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC,3.880492038209326
C[N+](C)(CCO)C(=O)CCc1ccc(-c2ccc(CCC(=O)[N+](C)(C)CCO)cc2)cc1,4.344981413927258
CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,3.848356258529125
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.548733277598153
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.925891145045613
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,4.014842430176032
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.990791172505445
COc1cc(=O)oc(C=CC=CC=CC(C)=CC2(C)OC(C)C(C)(O)C2O)c1C,4.002691866246877
CN/C(=N\C#N)NCCSCc1[nH]cnc1C,2.3754648815141497
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CSC12)c1ccc(O)cc1,2.4890326850440605
CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,1.4673712876474791
