curated_smiles,rabbit_oral_LDLo
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.294229173371993
O=CC(O)C(O)C(O)C(O)CO,0.9546187349827776
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.720197905644274
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.61954618051568
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.3815849073025825
Cc1cc(=O)[nH]c(=S)[nH]1,1.7549076647431832
CC12C(=O)OC(=O)C1(C)C1CCC2O1,3.991673434416323
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,4.076361502833028
CCCC[Sn](CCCC)(CCCC)OC(C)=O,3.9408935895911936
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.7441029760905646
NC(N)=O,0.7785564028583292
CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.705741442887099
CC1=CC(=O)c2ccccc2C1=O,2.8742624343831413
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.2519467205227537
Cc1ccccc1OCC(O)CO,1.8988658229253343
OCCc1ccccc1,1.785923913570009
Cc1c(C(C)C2NCC(C)CC2O)ccc2c1CC1C2CC=C2CC(O)CCC21C,4.093860851885884
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.4539418083270337
NC(N)=S,1.0373551901354343
CN(C)N=O,3.869718560837284
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,3.902484810473885
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.746139693505179
ClC(Cl)Cl,2.377954294325519
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,2.9999630834000603
CC(O)C(=O)O,1.2556487306467587
CI,3.3070037011631555
C#N,3.829721781101161
CCI,2.715908679392906
ClCCl,1.6503228635350358
C[N+](=O)[O-],1.910553261555124
C[Pb](C)(C)C,4.046852702004188
FC(F)(Cl)C(F)(Cl)Cl,1.0422627244780618
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.1116004441976948
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,2.606281021460782
CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.121060594667603
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.118580905025967
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,2.812552089767884
CC(CO)(CO)[N+](=O)[O-],2.1307164224119086
CCC(Br)(CC)C(=O)NC(N)=O,2.5967748084798736
COS(=O)(=O)OC,3.447616211520542
NC(CO)(CO)CO,2.083273228840171
CC[Pb](CC)(CC)CC,4.032683215359877
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.566283075120315
CC(C)CO,1.2959217205915556
ClC=C(Cl)Cl,1.2534550325973015
CC[N+](=O)[O-],2.1764790556028357
CC(C)[N+](=O)[O-],2.2508784532964605
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,1.7263196121107751
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,2.391842249378564
O=C(O)C(O)C(O)C(=O)O,1.4773701788711802
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.58033509417892
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,2.087501209733557
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,3.2808514256942063
Cc1ccc(C(C)C)c(O)c1,2.301669385299196
COc1ccccc1O,1.7928782469462867
CCC(C(=O)NC(N)=O)c1ccccc1,2.3143834287432674
O=C(O)C(O)c1ccccc1,1.8812391066371117
N#Cc1ccccc1C#N,3.709724375195609
c1ccc2ccccc2c1,1.630678683086349
Nc1ccc(-c2ccc(N)cc2)cc1,2.964358643709526
CCOC(=O)c1ccc(N)cc1,2.1572911709117277
C=CCc1ccc2c(c1)OCO2,2.210018718391942
Cc1ccccc1O,2.060858511639907
C=CC(=O)OC,2.4877946764756387
O=C(O)c1cc(S(=O)(=O)O)ccc1O,2.224883528144343
Cc1ccccc1NC(=N)Nc1ccccc1C,3.475892636566894
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,3.3425679477692167
C=C(C)C(=O)OCC,1.4975464626221473
CN(C)C(=S)SC(=S)N(C)C,3.318849781209405
O=Cc1ccco1,2.079565607485231
OB(O)c1ccccc1,2.307966447028274
O=[N+]([O-])c1ccccc1,2.245198818976123
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,2.6235283900067152
O=[N+]([O-])c1ccc(O)cc1,2.365207100231823
NNc1ccccc1,3.63606242042738
S=C(Nc1ccccc1)Nc1ccccc1,2.1824526967148903
CC(=O)Nc1ccccc1,1.954776202746909
Cc1ccc(O)cc1,2.2415946757413514
CCC[N+](=O)[O-],2.5519084489604413
CC(C)OC(C)C,1.2312018969098275
Cc1cccc(O)c1,1.887858329561368
CC1CCCCC1,1.3900028456760418
OC1CCCCC1,1.65827597102971
O=C1CCCCC1,1.787748196698119
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,2.552116786628969
CCCC#N,3.140552035909393
N#CCCO,1.897498799711709
c1cc[nH]c1,2.659346930391149
c1ccoc1,2.463771792601859
O=C(O)C=CC(=O)O,1.365757463360515
CCCC=NO,2.9401278366627084
C1CCCCC1,1.1847533578791472
N=C(N)N,2.0724116706737803
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.350751817816416
CC(N)(CO)CO,1.8456643215586837
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2.036479847172365
O=C(Oc1ccccc1)c1ccccc1O,1.853738760254977
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.6573083207440864
Oc1ccc(Cl)cc1Cc1ccccc1,2.5474233336255496
Oc1ccccc1O,2.7408046552768544
CCOc1cc(C=O)ccc1O,1.7434470461952998
COc1cc(C=O)ccc1O,1.70514784758143
NC(=O)Nc1ccc([As](=O)(O)O)cc1,3.11407863067047
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.439811469800555
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,2.6476117947511826
CC(=O)CC(C)(C)O,1.3973235508227508
C1CCNC1,2.454070058412268
CC(C)(N)CO,1.95006288554208
CC1(C)C2CCC1(C)C(O)C2,1.8872036235293108
O=[N+]([O-])C(CO)(CO)CO,2.7813761885266017
ClC(Cl)=C(Cl)Cl,1.5207035719300184
O=S(=O)(c1ccccc1)c1ccccc1,1.666910118271235
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,2.0209055855325557
Oc1c(I)cc(Cl)c2cccnc12,3.0870740490689594
Cc1ccccc1N=Nc1c(N)ccc2ccccc12,2.4171859447216426
Oc1ccc2ccccc2c1,1.579100338878031
Cc1ccccc1NC(=S)Nc1ccccc1C,1.9317527246720545
CCC1(CC)C(=O)NC(=O)NC1=O,2.825945143203848
O=S(O)CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)O)cc2)cc1,2.129787608203113
CC(=O)NS(=O)(=O)c1ccc(N)cc1,1.6319427180018344
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,1.095683572474026
CC1OC(C[N+](C)(C)C)CC1O,3.0651164194131204
OC(O)C(Cl)(Cl)Cl,2.139362136264611
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,2.723887835821347
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.292752417898727
CNCC(O)c1ccc(O)c(O)c1,3.7858208085166174
NCCCCN,1.7411220405989811
CC12CCC(CC1=O)C2(C)C,1.8814902214418152
CC(C)=CCC1C(=O)C(=C(O)CC(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O,2.6176146324770797
CCC(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,2.8111458610907105
Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,2.663344676681686
CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,3.156522994860229
C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,3.729605342655473
Cc1ccc(C(C)C)cc1O,3.176730648690896
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,2.473714641265828
O=C(O)CC[N+](=O)[O-],2.525595884348003
CCOC(O)C(Cl)(Cl)Cl,2.245191763586928
CCN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,3.17469388444648
C=CCC(C(=O)NC(N)=O)C(C)C,2.16847155472026
CCN(C)C(C)C(O)c1ccccc1,2.5458466965717648
O=C(O)c1ccccc1,1.7857674687101257
CCN(CCCl)CCCl,5.0545696484713485
N#CS,2.013868947868046
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,3.1089091360232524
NC(=O)CNc1ccc([As](=O)(O)O)cc1,3.136891715195306
ClCCN(CCCl)CCCl,5.009722775912059
NNC(N)=O,2.273412209693469
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,2.0365716775529337
CC(C)(Cl)[N+](=O)[O-],2.392834077235515
CC(Cl)(Cl)[N+](=O)[O-],2.9821415285152075
CC(=O)C(O)(O)C(=O)O,1.282288634168863
CC(Cl)[N+](=O)[O-],3.0394617104842667
CCC(Cl)[N+](=O)[O-],3.392834077235515
CCOC(=O)c1ccc(O)c(OC)c1,1.815582175360642
Nc1ccc(N)cc1,2.6360624204273804
CCCCOS(=O)(=O)OCCCC,3.0395277182660623
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,4.921804599405239
CN(C)P(=O)(N(C)C)N(C)C,2.0772564402354905
C[Sn](C)(Cl)Cl,3.642834353925831
CCCC[Sn](=O)CCCC,2.2200069152927697
CCOc1ccccc1C(N)=O,2.0418977522096577
O=C1C=CC(=O)N1c1ccccc1,3.238475164849424
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.145165317350654
O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,2.7089144065095376
CC(=O)CCCO,1.465098044478126
CCCC[Sn](CCCC)(CCCC)CCCC,1.841578439838492
NC(=S)Nc1ccc(O)cc1,2.7487589556175798
O=C1C=CC(=O)N1c1ccc(Cl)cc1,2.77319277517273
Cc1cc(C)c(O)c(C(C)(C)C)c1,3.5107277556256364
Nc1ccc(N=Nc2ccc(-c3ccc(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)c(N=Nc6ccccc6)c(O)c5c4N)cc3)cc2)c(N)c1,2.766867523134516
CN(C)c1ccc(N)cc1,2.9580794711690936
CC(C)(O)C#CBr,2.7351036494490315
C=CCC1(C(C)CC)C(=O)NC(=S)NC1=O,2.6818343679538827
CCN(CC)c1ccc(N)cc1,2.562298152637148
Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,2.3802903190008746
O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,2.179194241545185
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c12,2.3247144765606684
CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.9237309017098694
O=C(O)COc1ccc(Cl)cc1Cl,2.4413789201342806
Cc1cc(C(C)(C)C)c(OB(OC(C)C)OC(C)C)c(C(C)(C)C)c1,1.6969003204428723
CCn1nc2c3ccccc3c3ccccc3c2nc1=N,3.7392985498012954
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,2.937598123771113
CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,3.221221175166608
N#[N+][N-]P(=O)(c1ccccc1)c1ccccc1,3.593582595472297
O=P(Oc1ccccc1)(Oc1ccccc1)OC1CCCCC1,1.521577388388298
Nc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5ccc(O)cc5)cc4)cc3)c(O)c12,2.2848099733472003
NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)CO,4.629096848863495
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,2.684156135248859
O=C(O)CC(O)(CC(=O)O)C(=O)O,1.4384813195124917
COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,3.1356604834852377
O=C1NS(=O)(=O)c2ccccc21,1.6123820233313162
Cc1cc(N=Nc2ccc(S(=O)(=O)O)cc2)c(N)c(N=Nc2ccc(-c3ccc(N=Nc4cc(C)c(O)c(C(=O)O)c4)cc3)cc2)c1N,2.0212245822255697
Cc1cc(-c2ccc(N=Nc3c(N)c(C)cc(S(=O)(=O)O)c3N)c(C)c2)ccc1N=Nc1ccc(O)c(C(=O)O)c1,1.6801987359611297
CCNS(=O)(=O)c1ccc(C)cc1,1.9984228221379965
CNCCCC12CCC(c3ccccc31)c1ccccc12,2.443123677878525
COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,4.566376203439021
CCOCC(O)COC(C)C,1.4177368016482168
Oc1ccc(Cl)cc1C1CCCC1,2.670504284787732
CC12CCC(CC1=NO)C2(C)C,3.3202813327738987
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,2.3479249326778326
CN(C)C1=[S][Fe+3]23([S]=C(N(C)C)[S-]2)([S]=C(N(C)C)[S-]3)[S-]1,2.1425052208339896
CC1=CC2OC3CC4OC(=O)C=CC=CC(C(C)O)OCCC(C)C(O)C(=O)OCC2(CC1)C4(C)C31CO1,5.364697788097216
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,2.1428848048980846
O=C(O)c1cc(/N=N/c2ccc(-c3ccc(NN=c4c(=O)ccc(=NNc5cc(S(=O)(=O)O)ccc5O)c4=O)cc3)cc2)ccc1O,2.51495728381446
O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)O,2.9449611194718743
CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,2.8342515311579706
CC1=CC(=O)OCC23CCC(C)=CC2OC2CC(OC(=O)C=CC=CC(C(C)O)OCC1)C3(C)C21CO1,4.473436337747255
CCCO[Bi](O)O,2.319956555010656
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,5.628379733128609
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.6102691829416425
c1ccc(P(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,2.664157589385552
COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,2.877063083246664
CCN(CC)CCNC(=O)COc1cc(OC)c(OC)c(OC)c1,2.532015067377535
COc1cc2c(OC3OCC(OC)C(OC)C3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,4.033842567231667
CC(C)CCCCCOC(=O)CS,2.2311615161060274
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c3c(c12)O[Cu]Oc1cc(-c2ccc4c(c2)O[Cu]Oc2c(c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)cc(N)c25)N=N4)ccc1N=N3,2.406669632683035
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c(I)c(I)c(I)c(I)c21,2.92760609133
CNc1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(NC)nc(Nc5ccccc5)n4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)n1,2.8858370997775764
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],2.1894425864086
Nc1ccccc1,2.2701149352793384
CCCOC(=O)c1ccc(O)cc1,1.477610766407017
CCCCC1(CC)C(=O)NC(=O)NC1=O,3.326845652765201
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,3.474442096774838
CNC(C)C(O)c1ccccc1,2.447252661475802
COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1,3.0091465280634493
CCCC/C=N/N(C)C=O,2.608837660221078
CC(C)C/C=N/N(C)C=O,2.608837660221078
Oc1ccccc1,2.3504003270603078
CN(CCCN1c2ccccc2Sc2ccc(Cl)cc21)C1CCCC1,2.571668078403695
CB1P(C)B(C)P(C)B(C)P1C,3.731524301110339
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1,2.0785145902397986
Cc1ccc2c([nH]c(=O)c3c(=O)cc(C(=O)OCCC(C)C)oc32)c1C,1.8517351990828428
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,2.088710705424913
CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,3.523568291512572
COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,1.9288084408245771
COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,3.9627606715956656
OCC(Br)(Br)Br,2.410020680070542
CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,2.5553348166671848
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.4762082773455503
O=C(CF)NNc1ccccc1,4.995302185268897
Cc1ccc(O)c(C(C)(C)C)c1,1.8932807952528328
Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c2c1,1.883534250566277
Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)O)c3)cc2)cc1,1.9879506376677372
CC(C)(C#N)C(C)(C)C#N,3.736230721552737
NC(=S)Nc1ccc(Cl)cc1,3.72699950346143
OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,1.1541918511476992
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,3.431077061891033
Cc1cccc2sc3nncn3c12,2.7718698458226254
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,2.493353473120484
